Wk,Day,Date,Time,Home,xG,Score,xG.1,Away,Attendance,Venue,Referee,Match Report,Notes,Season
16.0,Wed,2023-12-20,20:30,Eint Frankfurt,1.4,2–1,0.3,M'Gladbach,58000.0,Deutsche Bank Park,Florian Badstübner,Match Report,,2024
,,,,,,,,,,,,,,2024
17.0,Fri,2024-01-12,20:30,Bayern Munich,2.8,3–0,1.2,Hoffenheim,75000.0,Allianz Arena,Benjamin Brand,Match Report,,2024
17.0,Sat,2024-01-13,15:30,RB Leipzig,3.5,0–1,1.1,Eint Frankfurt,45867.0,Red Bull Arena,Frank Willenborg,Match Report,,2024
17.0,Sat,2024-01-13,15:30,Freiburg,1.8,0–0,0.5,Union Berlin,33800.0,Europa-Park Stadion,Christian Dingert,Match Report,,2024
17.0,Sat,2024-01-13,15:30,Augsburg,0.4,0–1,2.0,Leverkusen,30055.0,WWK Arena,Sven Jablonski,Match Report,,2024
17.0,Sat,2024-01-13,15:30,Köln,0.9,1–1,0.9,Heidenheim,50000.0,RheinEnergieSTADION,Felix Zwayer,Match Report,,2024
17.0,Sat,2024-01-13,15:30,Mainz 05,0.4,1–1,0.6,Wolfsburg,24000.0,Mewa Arena,Patrick Ittrich,Match Report,,2024
17.0,Sat,2024-01-13,18:30,Darmstadt 98,1.0,0–3,3.1,Dortmund,17810.0,Merck-Stadion am Böllenfalltor,Deniz Aytekin,Match Report,,2024
17.0,Sun,2024-01-14,15:30,Bochum,0.7,1–1,0.8,Werder Bremen,26000.0,Vonovia Ruhrstadion,Tobias Stieler,Match Report,,2024
17.0,Sun,2024-01-14,17:30,M'Gladbach,1.9,3–1,0.9,Stuttgart,53429.0,Stadion im Borussia-Park,Harm Osmers,Match Report,,2024
,,,,,,,,,,,,,,2024
18.0,Sat,2024-01-20,15:30,Darmstadt 98,1.1,2–2,1.2,Eint Frankfurt,17750.0,Merck-Stadion am Böllenfalltor,Daniel Siebert,Match Report,,2024
18.0,Sat,2024-01-20,15:30,Heidenheim,1.1,1–1,1.1,Wolfsburg,15000.0,Voith-Arena,Timo Gerach,Match Report,,2024
18.0,Sat,2024-01-20,15:30,Köln,1.3,0–4,3.4,Dortmund,50000.0,RheinEnergieSTADION,Daniel Schlager,Match Report,,2024
18.0,Sat,2024-01-20,15:30,Freiburg,2.7,3–2,1.4,Hoffenheim,33600.0,Europa-Park Stadion,Sascha Stegemann,Match Report,,2024
18.0,Sat,2024-01-20,15:30,Bochum,0.9,1–0,1.4,Stuttgart,26000.0,Vonovia Ruhrstadion,Bastian Dankert,Match Report,,2024
18.0,Sat,2024-01-20,18:30,RB Leipzig,1.6,2–3,2.0,Leverkusen,46529.0,Red Bull Arena,Matthias Jöllenbeck,Match Report,,2024
18.0,Sun,2024-01-21,15:30,Bayern Munich,1.9,0–1,0.4,Werder Bremen,75000.0,Allianz Arena,Marco Fritz,Match Report,,2024
18.0,Sun,2024-01-21,17:30,M'Gladbach,1.7,1–2,1.3,Augsburg,44867.0,Stadion im Borussia-Park,Martin Petersen,Match Report,,2024
,,,,,,,,,,,,,,2024
13.0,Wed,2024-01-24,20:30,Bayern Munich,2.1,1–0,0.2,Union Berlin,75000.0,Allianz Arena,Frank Willenborg,Match Report,,2024
,,,,,,,,,,,,,,2024
19.0,Fri,2024-01-26,20:30,Eint Frankfurt,1.3,1–0,0.8,Mainz 05,58000.0,Deutsche Bank Park,Felix Zwayer,Match Report,,2024
19.0,Sat,2024-01-27,15:30,Werder Bremen,2.5,3–1,1.2,Freiburg,41500.0,Wohninvest Weserstadion,Robert Hartmann,Match Report,,2024
19.0,Sat,2024-01-27,15:30,Augsburg,2.6,2–3,2.3,Bayern Munich,30660.0,WWK Arena,Christian Dingert,Match Report,,2024
19.0,Sat,2024-01-27,15:30,Wolfsburg,1.5,1–1,0.6,Köln,24525.0,Volkswagen Arena,Sören Storks,Match Report,,2024
19.0,Sat,2024-01-27,15:30,Hoffenheim,2.8,1–1,1.1,Heidenheim,20120.0,PreZero Arena,Tobias Welz,Match Report,,2024
19.0,Sat,2024-01-27,15:30,Stuttgart,2.2,5–2,0.4,RB Leipzig,52100.0,MHPArena,Sven Jablonski,Match Report,,2024
19.0,Sat,2024-01-27,18:30,Leverkusen,2.9,0–0,0.3,M'Gladbach,30210.0,BayArena,Deniz Aytekin,Match Report,,2024
19.0,Sun,2024-01-28,15:30,Union Berlin,2.5,1–0,1.1,Darmstadt 98,21786.0,Stadion An der Alten Försterei,Harm Osmers,Match Report,,2024
